Fs = 192000Hz
n_fft = 531441
Reference Pitch A4 = 440.000000Hz
Equal Temperament

T[ms]	ID_NT_f	P_NT_f	F_ERR	NT_Name
20.000000ms	94.655851	92.498606	2.157245	F#/Gb-2
37.500000ms	87.068931	87.307058	-0.238126	F-2____
40.000000ms	45.882798	46.249303	-0.366505	F#/Gb_1
50.000000ms	85.985086	87.307058	-1.321972	F-2____
52.500000ms	57.443818	58.270470	-0.826652	A#/Bb-1
60.000000ms	79.843294	77.781746	2.061548	D#/Eb-2
62.500000ms	74.424066	73.416192	1.007874	D-2____
70.000000ms	98.629951	97.998859	0.631092	G-2____
77.500000ms	97.546106	97.998859	-0.452753	G-2____
85.000000ms	100.436361	97.998859	2.437502	G-2____
90.000000ms	48.773053	48.999429	-0.226377	G-1____
92.500000ms	98.268670	97.998859	0.269811	G-2____
97.500000ms	100.075079	97.998859	2.076220	G-2____
100.000000ms	55.276127	55.000000	0.276127	A-1____
102.500000ms	81.649703	82.406889	-0.757186	E-2____
105.000000ms	96.823542	97.998859	-1.175317	G-2____
107.500000ms	47.327925	46.249303	1.078623	F#/Gb_1
110.000000ms	105.133025	103.826174	1.306851	G#/Ab-2
112.500000ms	26.012295	27.500000	-1.487705	A-0____
115.000000ms	107.300716	110.000000	-2.699284	A-2____
117.500000ms	56.359972	55.000000	1.359972	A-1____
120.000000ms	109.107126	110.000000	-0.892874	A-2____
122.500000ms	77.675603	77.781746	-0.106143	D#/Eb-2
125.000000ms	110.552253	110.000000	0.552253	A-2____
127.500000ms	92.488160	92.498606	-0.010446	F#/Gb-2
130.000000ms	112.358663	110.000000	2.358663	A-2____
132.500000ms	105.133025	103.826174	1.306851	G#/Ab-2
135.000000ms	113.803790	116.540940	-2.737150	A#/Bb-2
137.500000ms	113.442508	116.540940	-3.098432	A#/Bb-2
140.000000ms	115.971481	116.540940	-0.569459	A#/Bb-2
142.500000ms	117.777891	116.540940	1.236950	A#/Bb-2
145.000000ms	121.029428	123.470825	-2.441398	B-2____
147.500000ms	121.029428	123.470825	-2.441398	B-2____
150.000000ms	123.919683	123.470825	0.448857	B-2____
152.500000ms	127.893783	130.812783	-2.919000	C-3____
155.000000ms	125.003528	123.470825	1.532703	B-2____
157.500000ms	132.590447	130.812783	1.777665	C-3____
160.000000ms	132.951729	130.812783	2.138947	C-3____
162.500000ms	130.422756	130.812783	-0.390026	C-3____
165.000000ms	139.093521	138.591315	0.502206	C#/Db-3
167.500000ms	139.454803	138.591315	0.863488	C#/Db-3
170.000000ms	135.841984	138.591315	-2.749331	C#/Db-3
172.500000ms	143.067622	146.832384	-3.764762	D-3____
175.000000ms	147.403004	146.832384	0.570620	D-3____
177.500000ms	143.790186	146.832384	-3.042198	D-3____
180.000000ms	145.235313	146.832384	-1.597071	D-3____
182.500000ms	152.099669	155.563492	-3.463823	D#/Eb-3
185.000000ms	153.906078	155.563492	-1.657414	D#/Eb-3
187.500000ms	152.460951	155.563492	-3.102541	D#/Eb-3
190.000000ms	153.906078	155.563492	-1.657414	D#/Eb-3
192.500000ms	158.602742	155.563492	3.039250	D#/Eb-3
195.000000ms	161.492997	164.813778	-3.320781	E-3____
197.500000ms	162.215561	164.813778	-2.598217	E-3____
200.000000ms	163.299407	164.813778	-1.514372	E-3____
202.500000ms	165.467098	164.813778	0.653319	E-3____
205.000000ms	167.996071	164.813778	3.182293	E-3____
207.500000ms	170.163762	174.614116	-4.450353	F-3____
210.000000ms	171.970172	174.614116	-2.643944	F-3____
212.500000ms	173.776581	174.614116	-0.837535	F-3____
215.000000ms	175.944272	174.614116	1.330157	F-3____
217.500000ms	178.473245	174.614116	3.859130	F-3____
220.000000ms	181.002218	184.997211	-3.994993	F#/Gb-3
222.500000ms	183.169910	184.997211	-1.827302	F#/Gb-3
225.000000ms	184.615037	184.997211	-0.382174	F#/Gb-3
227.500000ms	186.060165	184.997211	1.062953	F#/Gb-3
230.000000ms	187.505292	184.997211	2.508081	F#/Gb-3
232.500000ms	188.950420	184.997211	3.953208	F#/Gb-3
235.000000ms	190.756829	195.997718	-5.240889	G-3____
237.500000ms	192.563238	195.997718	-3.434480	G-3____
240.000000ms	194.730930	195.997718	-1.266788	G-3____
242.500000ms	196.537339	195.997718	0.539621	G-3____
245.000000ms	198.705030	195.997718	2.707312	G-3____
247.500000ms	200.872722	195.997718	4.875004	G-3____
250.000000ms	203.040413	207.652349	-4.611936	G#/Ab-3
252.500000ms	204.846822	207.652349	-2.805527	G#/Ab-3
255.000000ms	207.375795	207.652349	-0.276554	G#/Ab-3
257.500000ms	209.543486	207.652349	1.891138	G#/Ab-3
260.000000ms	211.711178	207.652349	4.058829	G#/Ab-3
262.500000ms	213.878869	220.000000	-6.121131	A-3____
265.000000ms	216.046560	220.000000	-3.953440	A-3____
267.500000ms	218.214251	220.000000	-1.785749	A-3____
270.000000ms	220.020661	220.000000	0.020661	A-3____
272.500000ms	221.827070	220.000000	1.827070	A-3____
275.000000ms	223.994761	220.000000	3.994761	A-3____
277.500000ms	226.162453	220.000000	6.162453	A-3____
280.000000ms	228.330144	233.081881	-4.751737	A#/Bb-3
282.500000ms	230.136553	233.081881	-2.945328	A#/Bb-3
285.000000ms	231.942963	233.081881	-1.138918	A#/Bb-3
287.500000ms	233.388090	233.081881	0.306209	A#/Bb-3
290.000000ms	235.555781	233.081881	2.473901	A#/Bb-3
292.500000ms	238.084754	233.081881	5.002874	A#/Bb-3
295.000000ms	240.613728	246.941651	-6.327923	B-3____
297.500000ms	242.058855	246.941651	-4.882796	B-3____
300.000000ms	243.503983	246.941651	-3.437668	B-3____
302.500000ms	245.671674	246.941651	-1.269977	B-3____
305.000000ms	248.561929	246.941651	1.620278	B-3____
